time,,gzip-pack,,matmul-p,,linpack-p,,chameleon-p,,float-operations-p,,face-detect-pigo-p,,dd,,sentimentanalysis-p,,face-detect-opencv-p,,image-process-p,,pyaes-p,,video-process-p,,CNN-p,,,,LR,,Total
525,,0,,0,,0,,0,,0,,27.1866,,4.0796,,11.1149,,46.927419,,20.4582,,20.6743,,47.38544,,28.6508,,,,0,,206.477259
540,,0,,0,,0,,0,,0,,34.0209,,4.9972,,11.1149,,59.560886,,18.8953,,24.1786,,50.82784,,32.78856,,,,0,,236.384186
555,,0,,0,,0,,0,,0,,34.0209,,4.9972,,9.7268,,59.560886,,18.8953,,24.1786,,50.82784,,32.78856,,,,0,,234.996086
570,,0.00181,,0,,0,,0,,0,,30.5514,,3.8537,,9.7268,,61.305398,,0,,21.9729,,49.16656,,31.50496,,,,0,,208.083528
585,,0.00181,,0,,0,,0,,0,,30.5514,,3.8537,,12.4213,,61.305398,,0,,21.9729,,49.16656,,31.50496,,,,0,,210.778028
600,,0,,0,,0,,0.00291,,0.00291,,26.7842,,4.6153,,12.4213,,53.218781,,0,,0,,45.47976,,29.73912,,,,0,,172.264281
615,,0,,0,,0,,0.00291,,0.00291,,26.7842,,4.6153,,10.5349,,53.218781,,0,,0,,45.47976,,29.73912,,,,0,,170.377881
630,,1.16,,1.47,,1.49,,1.15,,1.45,,32.8993,,4.1269,,10.5349,,0,,0,,0,,49.67784,,29.02696,,,,0,,132.9859
645,,1.16,,1.47,,1.49,,1.15,,1.45,,32.8993,,4.1269,,11.8127,,0,,0,,0,,49.67784,,29.02696,,,,0,,134.2637
660,,1.69,,2.08,,2.06,,1.61,,2,,28.1407,,4.9342,,11.8127,,0,,0,,0,,46.83408,,32.5812,,,,0,,133.74288
675,,1.69,,2.08,,2.06,,1.61,,2,,28.1407,,4.9342,,10.0372,,0,,0,,0,,46.83408,,32.5812,,,,0,,131.96738
690,,1.2,,1.6,,1.53,,1.24,,1.58,,31.665,,4.2739,,10.0372,,0,,18.7327,,0,,47.99312,,30.51424,,,,0,,150.36616
705,,1.2,,1.6,,1.53,,1.24,,1.58,,31.665,,4.2739,,12.6124,,0,,18.7327,,0,,47.99312,,30.51424,,,,0,,152.94136
720,,1.09,,1.38,,1.3,,1.1,,1.38,,33.9188,,4.5978,,12.6124,,0,,20.2165,,23.1296,,50.90728,,31.974,,,,62.43648,,246.04286
735,,1.09,,1.38,,1.3,,1.1,,1.38,,33.9188,,4.5978,,10.7681,,54.282613,,20.2165,,23.1296,,50.90728,,31.974,,,,62.43648,,298.481173
750,,1.06,,1.36,,1.25,,1.04,,1.34,,25.4332,,4.3629,,10.7681,,51.080799,,19.8654,,21.8347,,45.90064,,28.77144,,,,66.41184,,280.479019
765,,1.06,,1.36,,1.25,,1.04,,1.34,,25.4332,,4.3629,,11.5472,,51.080799,,19.8654,,21.8347,,45.90064,,28.77144,,,,66.41184,,281.258119
780,,0.888,,1.12,,1.03,,0.888,,1.1,,29.6215,,4.8709,,11.5472,,55.522698,,21.4892,,24.3135,,49.37872,,30.25728,,,,64.17552,,296.202518
795,,0.888,,1.12,,1.03,,0.888,,1.1,,29.6215,,4.8709,,9.9368,,55.522698,,21.4892,,24.3135,,49.37872,,30.25728,,,,64.17552,,294.592118
810,,0.915,,1.14,,1.14,,0.943,,1.17,,27.9577,,3.8904,,9.9368,,61.839316,,18.6142,,22.5471,,46.48736,,32.49072,,,,67.66144,,296.733036
825,,0.915,,1.14,,1.14,,0.943,,1.17,,27.9577,,3.8904,,12.2857,,61.839316,,18.6142,,22.5471,,46.48736,,32.49072,,,,67.66144,,299.081936
840,,0.714,,0.923,,0.982,,0.774,,1.01,,34.2081,,4.7327,,12.2857,,53.055002,,20.6359,,23.9843,,50.1268,,30.73608,,,,63.69704,,297.864622
855,,0.714,,0.923,,0.982,,0.774,,1.01,,34.2081,,4.7327,,10.1862,,53.055002,,20.6359,,23.9843,,50.1268,,30.73608,,,,63.69704,,295.765122
870,,0.804,,0.995,,0.995,,0.804,,1.23,,30.3346,,4.0448,,10.1862,,57.841784,,19.5138,,20.9156,,48.35056,,29.54712,,,,65.89056,,291.453024
885,,0.804,,0.995,,0.995,,0.804,,1.23,,30.3346,,4.0448,,11.9631,,57.841784,,19.5138,,20.9156,,48.35056,,29.54712,,,,65.89056,,293.229924
900,,0.688,,0.859,,0.859,,0.688,,0.817,,26.5019,,5.0813,,11.9631,,60.403189,,21.2547,,24.6524,,50.49584,,31.43,,,,62.94968,,298.643109
915,,0.688,,0.859,,0.859,,0.688,,0.817,,26.5019,,5.0813,,9.6145,,60.403189,,21.2547,,24.6524,,50.49584,,31.43,,,,62.94968,,296.294509
930,,0.747,,0.862,,0.862,,0.747,,0.862,,32.1884,,4.2287,,9.6145,,45.454255,,19.8765,,22.3495,,45.26648,,33.19744,,,,67.46512,,283.720895
945,,0.747,,0.862,,0.862,,0.747,,0.862,,32.1884,,4.2287,,12.7148,,45.454255,,19.8765,,22.3495,,45.26648,,33.19744,,,,67.46512,,286.821195
960,,0.693,,0.847,,0.693,,0.693,,0.924,,28.7752,,4.7882,,12.7148,,0,,20.7743,,23.2428,,0,,30.08696,,,,64.91176,,189.14402
975,,0.693,,0.847,,0.693,,0.693,,0.924,,28.7752,,4.7882,,10.9378,,0,,20.7743,,23.2428,,0,,30.08696,,,,64.91176,,187.36702
990,,0.682,,0.821,,0.783,,0.657,,0.821,,31.0456,,3.9265,,10.9378,,0,,18.9517,,21.6589,,0,,28.56736,,,,66.918,,185.76986
1005,,0.682,,0.821,,0.783,,0.657,,0.821,,31.0456,,3.9265,,11.4821,,0,,18.9517,,21.6589,,0,,28.56736,,,,66.918,,186.31416
1020,,0.602,,0.716,,0.727,,0.625,,0.704,,33.3989,,4.6593,,11.4821,,0,,21.6784,,24.2118,,0,,31.1164,,,,63.24328,,193.16418
