time,,user-memcached,,,media-memcached,,,compose-post,,,media-mongodb,,,text-service,,,home-timeline-service,,,unique-id-service,,,url-shorten-service,,,home-timeline-redis,,,user-timeline-mongodb,,,url-shorten-mongodb,,,social-graph-mongodb,,,,jaeger,,social-graph-service,,,user-service,,,url-shorten-memcached,,,user-timeline-service,,,nginx-thrift-,,,post-storage-service,,,social-graph-redis,,,user-mention-service,,,media-service-,,,,post-storage-mongodb,,,user-mongodb,,,user-timeline-redis,,,media-frontend,,post-storage-memcached,,,Total
555,,2.94,,,0,,,92.456,,,0.23544,,,32.432,,,69.24,,,1.8248,,,5.723793,,,4.8724,,,0.2204,,,0.2204,,,0.2752,,,,0.8844,,5.574926798,,,0.647806298,,,0.00215,,,0.046398937,,,78,,,0.409970412,,,23.02067803,,,21.76,,,1.596,,,,0.1652,,,13.12,,,0.05896,,,0,,0.000168,,,355.7270915
570,,2.94,,,0,,,92.456,,,0.23544,,,32.432,,,69.24,,,1.8248,,,5.723793,,,4.8724,,,0.2204,,,0.2204,,,0.2752,,,,0.8844,,6.763478968,,,0.904548206,,,0.00603,,,0.046398937,,,78,,,0.409970412,,,23.02067803,,,21.76,,,1.596,,,,0.1652,,,13.12,,,0.05896,,,0,,0.000168,,,357.1762656
585,,3.4652,,,0,,,100.552,,,0.2038,,,39.012,,,70.52,,,2.1748,,,6.59475,,,5.8532,,,0.318,,,0.1908,,,0.1908,,,,0.8844,,7.033050524,,,0.886291192,,,0.00603,,,0.045139607,,,63.2,,,0.616654161,,,29.19338645,,,23.92,,,1.908,,,,0.1908,,,14.528,,,0,,,0,,0.00018,,,371.4872819
600,,3.4652,,,0,,,100.552,,,0.2038,,,39.012,,,70.52,,,2.1748,,,6.467813,,,5.8532,,,0.318,,,0.1908,,,0.1908,,,,0.8844,,7.033050524,,,0.886291192,,,0,,,0.045704211,,,63.2,,,0.578872618,,,20.97017428,,,23.92,,,1.908,,,,0.1908,,,14.528,,,0,,,0,,0.00018,,,363.0938858
615,,2.8616,,,0,,,92.856,,,0.22592,,,32.544,,,64.92,,,1.8068,,,6.467813,,,3.7668,,,0.2116,,,0.2116,,,0.282,,,,0.978,,4.948917,,,0.777048588,,,0,,,0.045704211,,,80,,,0.578872618,,,20.97017428,,,20.16,,,1.624,,,,0.2116,,,11.232,,,0,,,0.00292,,0.000291,,,347.6836607
630,,2.8616,,,0,,,92.856,,,0.22592,,,32.544,,,64.92,,,1.8068,,,5.526274,,,3.7668,,,0.2116,,,0.2116,,,0.282,,,,0.978,,5.813261678,,,0.503879091,,,0.00273,,,0.041331037,,,80,,,0.238789891,,,13.20818421,,,20.16,,,1.624,,,,0.2116,,,11.232,,,0,,,0.00292,,0.000291,,,339.2295809
645,,3.3636,,,0,,,101.568,,,0.12,,,38.092,,,78.84,,,2.1636,,,6.027063,,,4.0836,,,0.2244,,,0.2244,,,0.2244,,,,0,,5.813261678,,,0.503879091,,,0.00273,,,0.047212626,,,74.4,,,0.44996657,,,17.69677953,,,26.56,,,1.792,,,,0.2244,,,15.852,,,0,,,0.00215,,0.000851,,,378.2762935
660,,3.3636,,,0,,,101.568,,,0.12,,,38.092,,,78.84,,,2.1636,,,6.027063,,,4.0836,,,0.2244,,,0.2244,,,0.2244,,,,0,,4.698452083,,,0.882465215,,,0,,,0.047212626,,,74.4,,,0.44996657,,,17.69677953,,,26.56,,,1.792,,,,0.2244,,,15.852,,,0,,,0.00215,,0.000851,,,377.53734
675,,2.1332,,,0,,,80.896,,,0.30464,,,25.132,,,65.72,,,1.3696,,,5.558362,,,15.828,,,0.428,,,0.1428,,,0.2856,,,,0.30464,,7.057523027,,,0.530478579,,,0,,,0.051412082,,,75.2,,,0.238254767,,,14.06418475,,,16,,,1.284,,,,0.2856,,,9.6,,,0,,,0.00302,,0.000301,,,322.4176162
690,,2.1332,,,0,,,80.896,,,0.30464,,,25.132,,,65.72,,,1.3696,,,7.411604,,,15.828,,,0.428,,,0.1428,,,0.2856,,,,0.30464,,7.057523027,,,0.530478579,,,0,,,0.050786068,,,75.2,,,0.599922821,,,17.7191725,,,16,,,1.284,,,,0.2856,,,9.6,,,0,,,0.00302,,0.000301,,,328.286888
705,,3.2008,,,0,,,96.296,,,0.21324,,,35.424,,,70.96,,,1.9188,,,7.411604,,,5.5548,,,0.1996,,,0.1996,,,0.3996,,,,0.21324,,4.629144547,,,0.859707951,,,0,,,0.050786068,,,77.6,,,0.599922821,,,17.7191725,,,28.36,,,1.596,,,,0.1996,,,19.188,,,0,,,0.00268,,0,,,372.7962979
720,,3.2008,,,0,,,96.296,,,0.21324,,,35.424,,,70.96,,,1.9188,,,5.529851,,,5.5548,,,0.1996,,,0.1996,,,0.3996,,,,0.21324,,8.794884726,,,0.731855842,,,0.0087,,,0.04259575,,,77.6,,,0.414640234,,,29.55480924,,,28.36,,,1.596,,,,0.1996,,,19.188,,,0,,,0.00268,,0,,,386.6032968
735,,3.5908,,,0,,,86.308,,,0,,,44.508,,,66.36,,,2.5124,,,6.471714,,,5.0084,,,0.3356,,,0.3356,,,0,,,,0,,8.794884726,,,0.731855842,,,0.0087,,,0.043405357,,,74.4,,,0.341471798,,,23.14218229,,,39.96,,,1.68,,,,0.3356,,,26.92,,,0,,,0,,0,,,391.788614
750,,3.5908,,,0,,,86.308,,,0,,,44.508,,,66.36,,,2.5124,,,6.471714,,,5.0084,,,0.3356,,,0.3356,,,0,,,,0,,5.87196797,,,0.806663947,,,0.0119,,,0.043405357,,,74.4,,,0.341471798,,,23.14218229,,,39.96,,,1.68,,,,0.3356,,,26.92,,,0,,,0,,0,,,388.9437054
765,,2.7148,,,0,,,89.256,,,0.21888,,,29.884,,,67.96,,,1.6204,,,6.910303,,,5.3868,,,0.2048,,,0.2048,,,0.2048,,,,0.56864,,6.362328583,,,0.719895637,,,0.0119,,,0.045129265,,,80,,,0.580558298,,,31.06928468,,,19.68,,,1.432,,,,0.2456,,,11.844,,,0,,,0,,0.000279,,,357.1251985
780,,2.7148,,,0,,,89.256,,,0.21888,,,29.884,,,67.96,,,1.6204,,,6.74482,,,5.3868,,,0.2048,,,0.2048,,,0.2048,,,,0.56864,,6.362328583,,,0.719895637,,,0,,,0.041719491,,,80,,,0.396243844,,,26.03856248,,,19.68,,,1.432,,,,0.2456,,,11.844,,,0,,,0,,0.000279,,,351.729369
795,,3.1192,,,0,,,96.28,,,0.23628,,,34.948,,,70.52,,,1.8928,,,6.74482,,,4.0164,,,0.2656,,,0.2656,,,0.2212,,,,0.6152,,5.90126013,,,0.575297556,,,0,,,0.041719491,,,82,,,0.396243844,,,26.03856248,,,23,,,1.772,,,,0.2212,,,13.716,,,0,,,0,,0.000841,,,372.7882245
810,,3.1192,,,0,,,96.28,,,0.23628,,,34.948,,,70.52,,,1.8928,,,6.299557,,,4.0164,,,0.2656,,,0.2656,,,0.2212,,,,0.6152,,3.319743058,,,0.974246475,,,0,,,0.04443443,,,82,,,0.566121732,,,21.25201612,,,23,,,1.772,,,,0.2212,,,13.716,,,0,,,0,,0.000841,,,365.5464398
825,,2.5248,,,0,,,85.684,,,0.24268,,,27.216,,,62.368,,,1.504,,,6.666601,,,4.5708,,,0.2272,,,0.2724,,,0.2724,,,,0.6792,,3.319743058,,,0.974246475,,,0,,,0.046092578,,,76,,,0.397029744,,,16.80259676,,,12.84,,,1.408,,,,0.2272,,,5.3836,,,0.048696,,,0,,0,,,309.6752856
840,,2.5248,,,0,,,85.684,,,0.24268,,,27.216,,,62.368,,,1.504,,,6.666601,,,4.5708,,,0.2272,,,0.2724,,,0.2724,,,,0.6792,,3.182873148,,,0.915279746,,,0.0162,,,0.046092578,,,76,,,0.397029744,,,16.80259676,,,12.84,,,1.408,,,,0.2272,,,5.3836,,,0.048696,,,0,,0,,,309.495649
855,,2.4456,,,0,,,84.684,,,0.26036,,,26.68,,,62.84,,,1.5092,,,7.404229,,,7.868,,,0.2436,,,0.2436,,,0.2436,,,,0.7824,,8.978747011,,,0.599021084,,,0.0162,,,0.043507452,,,75.2,,,0.624428879,,,12.28249533,,,13.04,,,1.364,,,,0.2436,,,5.7724,,,0.10392,,,0.0119,,0,,,313.4848088
870,,2.4456,,,0,,,84.684,,,0.26036,,,26.68,,,62.84,,,1.5092,,,6.128913,,,7.868,,,0.2436,,,0.2436,,,0.2436,,,,0.7824,,8.978747011,,,0.599021084,,,0.00371,,,0.044930452,,,75.2,,,0.245993448,,,16.97181309,,,13.04,,,1.364,,,,0.2436,,,5.7724,,,0.10392,,,0.0119,,0,,,316.5093081
885,,2.86,,,0,,,92.472,,,0.29196,,,32.704,,,71.4,,,1.8084,,,6.128913,,,6.968,,,0.2732,,,0.2184,,,0.2732,,,,0.936,,5.799219389,,,0.91813343,,,0.00371,,,0.044930452,,,77.2,,,0.245993448,,,16.97181309,,,23.28,,,1.528,,,,0.2732,,,14.58,,,0,,,0,,0,,,357.1790728
